127.0.0.1 - - [06/Jan/2024:23:31:32 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Jan/2024:23:32:15 +0530] "GET /Enjoy/ HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [06/Jan/2024:23:32:16 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Jan/2024:23:32:24 +0530] "GET /User/ HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [06/Jan/2024:23:32:32 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 1610
0:0:0:0:0:0:0:1 - - [06/Jan/2024:23:33:05 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 1610
0:0:0:0:0:0:0:1 - - [06/Jan/2024:23:33:57 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 1648
0:0:0:0:0:0:0:1 - - [06/Jan/2024:23:38:59 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 1732
0:0:0:0:0:0:0:1 - - [06/Jan/2024:23:39:43 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 1740
0:0:0:0:0:0:0:1 - - [06/Jan/2024:23:50:10 +0530] "GET /User/ HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [06/Jan/2024:23:50:10 +0530] "GET /User/styles.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Jan/2024:23:50:13 +0530] "GET /User/AddUser.jsp HTTP/1.1" 200 3876
0:0:0:0:0:0:0:1 - - [06/Jan/2024:23:50:13 +0530] "GET /User/styles.css HTTP/1.1" 404 682
